alunoid,campus,curso,forma_acesso_seletivo,frequencia,reprovacoes,rendabruta,ira,modalidade,genero,raca,idade,idioma,ficou_tempo_sem_estudar,razao_ausencia_educacional,quantidade_computadores,exclusivo_rede_publica,companhia_domiciliar,mae_nivel_escolaridade,pai_nivel_escolaridade,quantidade_notebooks,estado_civil,qtd_filhos,tipo_area_residencial,trabalha,situacao
44762,MTC,Técnico em Eletrotécnica,CON,100.0%,0.0,1787.33,7.88,Integrado,M,Branca,24,True,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,0.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
65254,MTC,Técnico em Design de Móveis,COT,99.0%,0.0,1200.0,7.12,Integrado,F,Parda,22,False,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
67532,MTC,Técnico em Design de Móveis,COT,100.0%,0.0,1172.53,8.31,Integrado,F,Preta,22,False,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,0.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
56595,MTC,Técnico em Eletromecânica,,98.0%,0.0,2061.28,8.37,Integrado,F,Branca,23,False,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
121359,MTC,Técnico em Comunicação Visual,COT,99.0%,0.0,1400.0,9.51,Integrado,F,Parda,19,False,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
94963,MTC,Técnico em Química,COT,97.0%,0.0,1400.0,8.42,Integrado,F,Branca,20,False,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,0.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
65265,MTC,Técnico em Informática,,86.0%,0.0,1400.0,8.33,Integrado,M,Parda,21,False,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
93848,MTC,Técnico em Eletromecânica,CON,96.0%,0.0,1750.0,8.89,Integrado,F,Parda,20,False,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
89803,MTC,Técnico em Química,CON,97.0%,0.0,2145.73,8.78,Integrado,M,Parda,20,True,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
44595,MTC,Técnico em Comunicação Visual,,100.0%,0.0,3121.52,8.44,Integrado,F,Preta,24,True,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
105356,MTC,Técnico em Química,COT,99.0%,0.0,1700.0,8.83,Integrado,M,Parda,19,False,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,0.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
93495,MTC,Técnico em Edificações,CON,98.0%,0.0,5800.0,8.69,Integrado,F,Branca,20,True,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
119657,MTC,Técnico de Segurança Do Trabalho,CON,97.0%,0.0,4000.0,8.98,Integrado,F,Branca,18,True,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
119536,MTC,Técnico de Segurança Do Trabalho,CON,96.0%,0.0,3000.0,8.89,Integrado,M,Parda,18,True,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,0.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
91950,MTC,Técnico em Química,COT,99.0%,0.0,937.0,9.3,Integrado,F,Parda,20,False,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
67149,MTC,Técnico em Edificações,,95.0%,0.0,1000.0,8.11,Integrado,F,Preta,22,False,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
91526,MTC,Técnico em Química,CON,98.0%,0.0,3700.0,8.57,Integrado,M,Parda,20,True,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,2.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
122034,MTC,Técnico em Química,CON,99.0%,0.0,6249.96,9.71,Integrado,F,Branca,18,True,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
65972,MTC,Técnico em Informática,,100.0%,0.0,1350.0,7.41,Integrado,M,Parda,22,False,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
76700,MTC,Técnico em Comunicação Visual,CON,98.0%,0.0,1000.0,8.18,Integrado,F,Parda,20,True,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
56574,MTC,Técnico em Informática,COT,98.0%,0.0,1070.32,7.92,Integrado,M,Parda,24,False,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
90129,MTC,Técnico em Informática,CON,97.0%,0.0,2400.0,8.8,Integrado,M,Parda,20,False,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
90110,MTC,Técnico em Edificações,CON,99.0%,0.0,1023.0,8.79,Integrado,M,Parda,20,False,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
107596,MTC,Técnico em Informática,CON,97.0%,0.0,6500.0,9.19,Integrado,M,Branca,19,True,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
56564,MTC,Técnico em Eletrônica,,97.0%,0.0,800.0,8.76,Integrado,M,Parda,23,False,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,0.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
47186,MTC,Técnico de Segurança Do Trabalho,,98.0%,0.0,7.0,7.86,Integrado,F,Preta,24,False,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,0.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
44874,MTC,Técnico em Comunicação Visual,,95.0%,0.0,1717.63,8.75,Integrado,F,Branca,24,True,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Concluído
